class_id,class_name,confidence,box
2,car,0.8786360621452332,"[3436.68798828125, 2632.446533203125, 4583.0634765625, 3307.418212890625]"
2,car,0.8714141249656677,"[2540.97216796875, 2678.298828125, 2920.86767578125, 2969.447998046875]"
2,car,0.8613249063491821,"[0.5195366144180298, 2806.426025390625, 482.06390380859375, 3339.738525390625]"
2,car,0.8454332947731018,"[4254.796875, 2789.891357421875, 4981.53662109375, 3440.892333984375]"
9,traffic light,0.8396573066711426,"[4544.49365234375, 804.3187866210938, 4817.32080078125, 1368.8270263671875]"
2,car,0.8103387355804443,"[4519.5087890625, 2844.390625, 5184.0, 3436.19775390625]"
5,bus,0.781537652015686,"[4034.405517578125, 2199.095703125, 5066.345703125, 2839.86865234375]"
2,car,0.7662033438682556,"[2390.737548828125, 2614.838134765625, 2707.234619140625, 2854.366943359375]"
2,car,0.7178822755813599,"[720.033447265625, 2534.317138671875, 1166.485107421875, 2805.193603515625]"
2,car,0.7007943391799927,"[3140.594482421875, 2669.290283203125, 3369.713134765625, 2976.72412109375]"
2,car,0.6710072159767151,"[375.37249755859375, 2739.84521484375, 887.8873291015625, 3237.26708984375]"
2,car,0.6042035818099976,"[3269.70654296875, 2687.96142578125, 3602.306884765625, 2990.35009765625]"
5,bus,0.5700018405914307,"[2695.005126953125, 2135.318115234375, 3014.658447265625, 2585.601318359375]"
2,car,0.4024064242839813,"[3642.459716796875, 2395.79541015625, 3878.1162109375, 2594.266357421875]"
0,person,0.38571664690971375,"[161.7190704345703, 2654.199951171875, 296.828369140625, 2808.318603515625]"
2,car,0.379433274269104,"[1089.415771484375, 2414.2529296875, 1310.2420654296875, 2612.8896484375]"
9,traffic light,0.36217740178108215,"[1432.193359375, 2044.080810546875, 1531.3402099609375, 2384.728271484375]"
2,car,0.323616623878479,"[3546.187744140625, 2329.152587890625, 3710.484619140625, 2468.73486328125]"
9,traffic light,0.31865087151527405,"[4020.788330078125, 2005.2313232421875, 4094.755126953125, 2090.060791015625]"
2,car,0.3092418611049652,"[1432.7108154296875, 2497.0615234375, 1741.9361572265625, 2859.961181640625]"
2,car,0.3067699074745178,"[980.018310546875, 2469.083740234375, 1203.08154296875, 2676.97705078125]"
