class_id,class_name,confidence,box
2,car,0.8752245306968689,"[2541.76953125, 2678.209228515625, 2920.23681640625, 2969.895263671875]"
2,car,0.8743661642074585,"[0.5090618133544922, 2807.16357421875, 483.466796875, 3338.928955078125]"
2,car,0.8737620711326599,"[3434.9501953125, 2632.626953125, 4585.9990234375, 3307.439453125]"
2,car,0.8465963006019592,"[4253.375, 2789.87158203125, 4981.267578125, 3440.64111328125]"
9,traffic light,0.840366542339325,"[4541.70654296875, 803.5641479492188, 4819.44189453125, 1364.124755859375]"
2,car,0.8135971426963806,"[4520.29150390625, 2844.506591796875, 5184.0, 3436.44140625]"
5,bus,0.7775259613990784,"[4034.81494140625, 2198.9423828125, 5069.07666015625, 2840.355224609375]"
2,car,0.7557836771011353,"[2391.0009765625, 2614.250244140625, 2707.8828125, 2854.4658203125]"
2,car,0.7114254832267761,"[720.9510498046875, 2535.389892578125, 1173.1531982421875, 2806.607421875]"
2,car,0.6912298798561096,"[3141.0146484375, 2671.33837890625, 3366.593505859375, 2976.76025390625]"
2,car,0.6894433498382568,"[374.0059509277344, 2739.551513671875, 890.7941284179688, 3236.1328125]"
2,car,0.6012171506881714,"[3268.657958984375, 2688.725830078125, 3601.245361328125, 2989.856689453125]"
5,bus,0.5598127245903015,"[2695.675048828125, 2136.110107421875, 3014.541259765625, 2585.7158203125]"
2,car,0.42142727971076965,"[3641.942626953125, 2395.56298828125, 3878.08251953125, 2593.974853515625]"
0,person,0.3977260887622833,"[161.943115234375, 2653.93701171875, 299.3887634277344, 2808.61328125]"
2,car,0.39559900760650635,"[1089.109619140625, 2414.310791015625, 1310.3831787109375, 2612.6884765625]"
9,traffic light,0.37768539786338806,"[1427.645263671875, 2042.1845703125, 1540.6650390625, 2382.208984375]"
2,car,0.31839519739151,"[3545.25341796875, 2331.138427734375, 3709.94189453125, 2472.379150390625]"
9,traffic light,0.31159552931785583,"[4020.70166015625, 2005.9085693359375, 4094.17333984375, 2089.95751953125]"
2,car,0.3089796006679535,"[988.4336547851562, 2470.94189453125, 1205.313232421875, 2683.48193359375]"
